SUPER_GRC2	5.063979	g13065	SRR9969366
SUPER_GRC2	14.798087	g14637	SRR9969366
SUPER_GRC2	7.036938	g16029	SRR9969366
SUPER_GRC2	6.072952	g17249	SRR9969366
SUPER_GRC2	2.678090	g18526	SRR9969366
SUPER_GRC2	41.305958	g19121	SRR9969366
SUPER_1	193.497040	s26	SRR9969366
SUPER_1	23.768341	s26	SRR9969366
SUPER_1	105.216515	s27	SRR9969366
SUPER_1	3.941316	s28	SRR9969366
SUPER_1	57.997437	s29	SRR9969366
SUPER_1	20.229410	s30	SRR9969366
SUPER_1	25.132620	s31	SRR9969366
SUPER_1	66.651810	s33	SRR9969366
SUPER_1	305.315765	s34	SRR9969366
SUPER_1	101.861145	s35	SRR9969366
SUPER_1	8.782229	s37	SRR9969366
SUPER_1	77.135628	s38	SRR9969366
SUPER_1	1.846988	s39	SRR9969366
SUPER_1	14.836827	s42	SRR9969366
SUPER_1	3.546314	s42	SRR9969366
SUPER_1	21.086849	s43	SRR9969366
SUPER_1	1433.994629	s46	SRR9969366
SUPER_1	111.357315	s47	SRR9969366
SUPER_1	96.567001	s48	SRR9969366
SUPER_1	11.992506	s50	SRR9969366
SUPER_1	7.409727	s52	SRR9969366
SUPER_1	2.825694	s53	SRR9969366
SUPER_1	2.264517	s54	SRR9969366
SUPER_1	3.899231	s54	SRR9969366
SUPER_1	71.807953	s56	SRR9969366
SUPER_1	3.111382	s57	SRR9969366
SUPER_1	22.861631	s59	SRR9969366
SUPER_1	62.855167	s60	SRR9969366
SUPER_1	12.560953	s61	SRR9969366
SUPER_1	9.256922	s62	SRR9969366
SUPER_1	7.098037	s64	SRR9969366
SUPER_1	166.591751	s66	SRR9969366
SUPER_1	563.469421	s69	SRR9969366
SUPER_1	49.453365	s70	SRR9969366
SUPER_1	66.603882	s72	SRR9969366
SUPER_1	19.321798	s74	SRR9969366
SUPER_1	15.526326	s80	SRR9969366
SUPER_1	12.022525	s81	SRR9969366
SUPER_1	41.954437	s82	SRR9969366
SUPER_1	81.245071	s83	SRR9969366
SUPER_1	111.532448	s86	SRR9969366
SUPER_1	63.589340	s88	SRR9969366
SUPER_1	34.453415	s89	SRR9969366
SUPER_1	1762.251709	s90	SRR9969366
SUPER_1	44.893986	s92	SRR9969366
SUPER_1	50.410000	s93	SRR9969366
SUPER_1	3.561743	s94	SRR9969366
SUPER_1	7.489872	s95	SRR9969366
SUPER_1	78.505722	s96	SRR9969366
SUPER_1	2.056375	s97	SRR9969366
SUPER_1	12.399841	s98	SRR9969366
SUPER_1	3.263884	s99	SRR9969366
SUPER_1	94.636856	s100	SRR9969366
SUPER_1	647.571655	s101	SRR9969366
SUPER_1	3.318102	s103	SRR9969366
SUPER_1	44.548183	s104	SRR9969366
SUPER_1	12.267465	s106	SRR9969366
SUPER_1	267.355286	s107	SRR9969366
SUPER_1	24.553122	s108	SRR9969366
SUPER_1	13.965515	s109	SRR9969366
SUPER_1	3.445911	s110	SRR9969366
SUPER_1	1.877345	s111	SRR9969366
SUPER_1	8.951395	s112	SRR9969366
SUPER_1	8.676772	s113	SRR9969366
SUPER_1	9.461079	s115	SRR9969366
SUPER_1	115.940117	s116	SRR9969366
SUPER_1	63.178726	s118	SRR9969366
