g18527	SUPER_GRC2	both	female	late-larva-early-pupa	Expressed_in_2_samples
g9418	SUPER_GRC2	both	female	late-larva-early-pupa	Expressed_in_2_samples
g18454	SUPER_GRC2	both	female	late-larva-early-pupa	Expressed_in_2_samples
g18534	SUPER_GRC2	both	female	late-larva-early-pupa	Expressed_in_3_samples
g7428	SUPER_GRC1	germ	both-sexes	late-larva-early-pupa	Expressed_in_6_samples
g13362	SUPER_GRC2	germ	both-sexes	late-larva-early-pupa	Expressed_in_4_samples
g233	SUPER_GRC1	germ	both-sexes	late-larva-early-pupa	Expressed_in_3_samples
g14257	SUPER_GRC2	both	both-sexes	late-larva-early-pupa	Expressed_in_9_samples
g14637	SUPER_GRC2	both	both-sexes	late-larva-early-pupa	Expressed_in_12_samples
g15244	SUPER_GRC2	both	both-sexes	late-larva-early-pupa	Expressed_in_6_samples
g17249	SUPER_GRC2	both	both-sexes	late-larva-early-pupa	Expressed_in_11_samples
g19121	SUPER_GRC2	both	both-sexes	late-larva-early-pupa	Expressed_in_10_samples
